number-n 不少 数量 0.134 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走到 去 0.394 syn
go-v 走到 去 0.394 syn
go-v 走到 去 0.394 syn
go-v 走到 去 0.394 syn
go-v 走到 去 0.394 syn
go-v 走到 上学 0.338 syn
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 上学 0.523 syn
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 上学 0.523 syn
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 上学 0.523 syn
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 上学 0.523 syn
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 上学 0.523 syn
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 上学 0.523 syn
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 上学 0.523 syn
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 去 1.0 poly
go-v 去 上学 0.523 syn
go-v 去 去 1.0 poly
go-v 去 上学 0.523 syn
go-v 去 上学 0.523 syn
go-v 去 去 1.0 poly
go-v 去 上学 0.523 syn
teach-v 告诉 教育 0.023 syn
continue-v 源源不断 下去 0.218 syn
continue-v 源源不断 继续 0.207 syn
continue-v 依然 继续 0.189 syn
continue-v 依然 继续 0.189 syn
continue-v 假如说 继续 -0.048 syn
continue-v 假如说 继续 -0.048 syn
continue-v 下去 继续 0.512 syn
voice-n 呼声 声音 0.544 syn
nomination-n 提名 提名案 0.432 syn
way-n 途中 方法 -0.106 syn
way-n 方法 方式 0.682 poly
way-n 方法 方式 0.682 poly
way-n 方法 方法 1.0 poly
way-n 方法 办法 0.699 poly
way-n 方法 方式 0.682 poly
way-n 方式 方式 1.0 poly
way-n 方式 方式 1.0 poly
way-n 方式 方式 1.0 poly
allow-v 让 允许 0.4 syn
allow-v 准 允许 0.347 syn
allow-v 不得 允许 0.445 syn
allow-v 不得 允许 0.445 syn
include-v 之内 包括 0.18 syn
include-v 包括 包括 1.0 poly
include-v 包括 包括 1.0 poly
include-v 包括 包括 1.0 poly
include-v 包括 包括 1.0 poly
include-v 包括 包括 1.0 poly
launch-v 展开 发动 0.338 syn
launch-v 发动 发起 0.547 syn
understand-v 认识 明白 0.402 syn
understand-v 认识 理解 0.384 syn
understand-v 了解 理解 0.612 syn
understand-v 了解 懂事 0.033 syn
understand-v 了解 理解 0.612 syn
understand-v 了解 理解 0.612 syn
understand-v 体会 理解 0.402 syn
understand-v 明白 理解 0.493 syn
understand-v 懂事 理解 0.193 syn
understand-v 懂事 理解 0.193 syn
understand-v 理解 理解 1.0 poly
begin-v 开始 开始 1.0 poly
begin-v 开始 开始 1.0 poly
begin-v 开始 开始 1.0 poly
begin-v 开始 开始 1.0 poly
begin-v 开始 开始 1.0 poly
begin-v 开始 开始 1.0 poly
begin-v 开始 开始 1.0 poly
begin-v 开始 开始 1.0 poly
begin-v 开始 开始 1.0 poly
begin-v 开始 开始 1.0 poly
begin-v 开始 开始 1.0 poly
begin-v 开始 开始 1.0 poly
regard-v 对于 关于 0.358 syn
act-v 行动 表演 0.103 syn
talk-v 说话 讲 0.763 poly
talk-v 说话 说话 1.0 poly
talk-v 说话 谈论 0.461 syn
talk-v 说话 谈到 0.098 syn
talk-v 说话 谈论 0.461 syn
talk-v 说话 谈论 0.461 syn
talk-v 说话 谈 0.572 syn
talk-v 说话 谈 0.572 syn
talk-v 说话 谈 0.572 syn
talk-v 说话 谈话 0.31 syn
talk-v 说话 谈到 0.098 syn
talk-v 说话 谈论 0.461 syn
talk-v 说话 谈论 0.461 syn
talk-v 说话 谈 0.572 syn
talk-v 说话 谈 0.572 syn
talk-v 说话 谈话 0.31 syn
talk-v 说话 谈到 0.098 syn
talk-v 说话 谈论 0.461 syn
talk-v 说话 谈论 0.461 syn
talk-v 说话 谈 0.572 syn
talk-v 说话 谈 0.572 syn
talk-v 说话 谈话 0.31 syn
talk-v 说话 谈到 0.098 syn
talk-v 说话 谈论 0.461 syn
talk-v 说话 谈论 0.461 syn
talk-v 说话 谈 0.572 syn
talk-v 说话 谈 0.572 syn
talk-v 说话 谈话 0.31 syn
talk-v 谈到 讲 0.223 syn
talk-v 谈到 谈论 0.549 syn
talk-v 谈到 谈论 0.549 syn
talk-v 谈到 谈 0.401 syn
talk-v 谈到 谈 0.401 syn
talk-v 谈到 谈话 0.339 syn
talk-v 谈到 谈论 0.549 syn
talk-v 谈到 谈论 0.549 syn
talk-v 谈到 谈 0.401 syn
talk-v 谈到 谈 0.401 syn
talk-v 谈到 谈 0.401 syn
talk-v 谈到 谈话 0.339 syn
talk-v 谈到 谈谈 0.345 syn
talk-v 谈到 谈论 0.549 syn
talk-v 谈到 谈 0.401 syn
talk-v 谈到 谈 0.401 syn
talk-v 谈到 交谈 0.265 syn
talk-v 谈到 说起 0.158 syn
talk-v 谈到 讲 0.223 syn
talk-v 谈到 谈论 0.549 syn
talk-v 谈到 谈论 0.549 syn
talk-v 谈到 谈 0.401 syn
talk-v 谈到 谈 0.401 syn
talk-v 谈到 谈话 0.339 syn
talk-v 谈到 谈谈 0.345 syn
talk-v 谈到 谈论 0.549 syn
talk-v 谈到 谈论 0.549 syn
talk-v 谈到 谈 0.401 syn
talk-v 谈到 谈 0.401 syn
talk-v 谈到 交谈 0.265 syn
talk-v 谈到 谈话 0.339 syn
talk-v 谈到 讲 0.223 syn
talk-v 谈到 谈论 0.549 syn
talk-v 谈到 谈论 0.549 syn
talk-v 谈到 谈 0.401 syn
talk-v 谈到 谈 0.401 syn
talk-v 谈到 谈话 0.339 syn
talk-v 谈谈 通话 0.151 syn
talk-v 谈谈 谈论 0.653 syn
talk-v 谈谈 谈论 0.653 syn
talk-v 谈谈 交谈 0.123 syn
talk-v 谈谈 谈论 0.653 syn
talk-v 谈谈 交谈 0.123 syn
talk-v 谈谈 说起 0.315 syn
talk-v 谈谈 谈论 0.653 syn
talk-v 谈谈 谈论 0.653 syn
talk-v 谈谈 交谈 0.123 syn
talk-v 谈谈 谈话 0.119 syn
talk-v 谈谈 谈论 0.653 syn
talk-v 谈谈 谈论 0.653 syn
talk-v 谈谈 交谈 0.123 syn
talk-v 谈谈 谈话 0.119 syn
talk-v 通话 谈论 0.201 syn
talk-v 通话 谈 0.232 syn
talk-v 通话 谈 0.232 syn
talk-v 通话 交谈 0.535 syn
talk-v 通话 说起 -0.008 syn
talk-v 说说 谈论 0.495 syn
talk-v 说说 谈论 0.495 syn
talk-v 说说 谈 0.65 syn
talk-v 说说 谈 0.65 syn
talk-v 说说 交谈 0.188 syn
talk-v 讲 谈论 0.49 syn
talk-v 讲 谈论 0.49 syn
talk-v 讲 谈 0.639 syn
talk-v 讲 谈 0.639 syn
talk-v 讲 谈话 0.294 syn
talk-v 讲 谈论 0.49 syn
talk-v 讲 谈论 0.49 syn
talk-v 讲 谈 0.639 syn
talk-v 讲 谈 0.639 syn
talk-v 讲 交谈 0.227 syn
talk-v 讲 谈话 0.294 syn
talk-v 聊 谈论 0.272 syn
talk-v 聊 谈论 0.272 syn
talk-v 聊 谈 0.554 syn
talk-v 聊 谈 0.554 syn
talk-v 聊 谈话 0.208 syn
talk-v 谈论 谈论 1.0 poly
talk-v 谈论 交谈 0.206 syn
talk-v 谈论 说起 0.304 syn
talk-v 谈论 谈话 0.259 syn
talk-v 谈论 谈话 0.259 syn
talk-v 谈论 谈论 1.0 poly
talk-v 谈论 谈论 1.0 poly
talk-v 谈论 谈 0.661 poly
talk-v 谈论 谈 0.661 poly
talk-v 谈论 谈话 0.259 syn
talk-v 谈论 谈话 0.259 syn
talk-v 谈论 谈话 0.259 syn
talk-v 谈论 交谈 0.206 syn
talk-v 谈论 说起 0.304 syn
talk-v 谈论 谈话 0.259 syn
talk-v 谈论 交谈 0.206 syn
talk-v 谈论 谈话 0.259 syn
talk-v 谈论 谈话 0.259 syn
talk-v 谈论 交谈 0.206 syn
talk-v 谈论 交谈 0.206 syn
talk-v 谈论 说起 0.304 syn
talk-v 谈论 交谈 0.206 syn
talk-v 谈论 谈话 0.259 syn
talk-v 谈论 交谈 0.206 syn
talk-v 谈论 谈话 0.259 syn
talk-v 谈论 交谈 0.206 syn
talk-v 谈论 说起 0.304 syn
talk-v 谈论 交谈 0.206 syn
talk-v 谈论 谈话 0.259 syn
talk-v 谈论 交谈 0.206 syn
talk-v 谈论 谈话 0.259 syn
talk-v 说到 谈 0.585 syn
talk-v 说到 谈 0.585 syn
talk-v 说到 谈话 0.102 syn
talk-v 谈 交谈 0.244 syn
talk-v 谈 说起 0.459 syn
talk-v 谈 谈话 0.249 syn
talk-v 谈 谈话 0.249 syn
talk-v 谈 谈话 0.249 syn
talk-v 谈 谈话 0.249 syn
talk-v 谈 谈话 0.249 syn
talk-v 谈 谈 1.0 poly
talk-v 谈 谈 1.0 poly
talk-v 谈 交谈 0.244 syn
talk-v 谈 说起 0.459 syn
talk-v 谈 谈话 0.249 syn
talk-v 谈 交谈 0.244 syn
talk-v 谈 谈话 0.249 syn
talk-v 谈 谈话 0.249 syn
talk-v 谈 谈 1.0 poly
talk-v 谈 交谈 0.244 syn
talk-v 谈 说起 0.459 syn
talk-v 谈 交谈 0.244 syn
talk-v 谈 谈话 0.249 syn
talk-v 谈 交谈 0.244 syn
talk-v 谈 谈话 0.249 syn
talk-v 谈 交谈 0.244 syn
talk-v 谈 说起 0.459 syn
talk-v 谈 交谈 0.244 syn
talk-v 谈 谈话 0.249 syn
talk-v 谈 交谈 0.244 syn
talk-v 谈 谈话 0.249 syn
talk-v 谈 谈话 0.249 syn
talk-v 谈 交谈 0.244 syn
talk-v 谈 说起 0.459 syn
talk-v 谈 谈话 0.249 syn
talk-v 交谈 谈话 0.486 syn
talk-v 交谈 谈话 0.486 syn
talk-v 交谈 谈话 0.486 syn
talk-v 交谈 谈话 0.486 syn
talk-v 交谈 谈话 0.486 syn
talk-v 谈话 说起 0.175 syn
talk-v 谈话 说起 0.175 syn
think-v 看待 觉得 0.082 syn
think-v 看待 考虑 0.324 syn
think-v 以为 觉得 0.746 poly
think-v 以为 觉得 0.746 poly
think-v 以为 觉得 0.746 poly
think-v 以为 觉得 0.746 poly
think-v 以为 觉得 0.746 poly
think-v 以为 觉得 0.746 poly
think-v 以为 考虑 0.092 syn
think-v 觉着 想 0.551 syn
think-v 觉着 觉得 0.609 syn
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想到 0.564 syn
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 想 1.0 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想到 0.564 syn
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想到 0.564 syn
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 觉得 0.736 poly
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想到 0.564 syn
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想 1.0 poly
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 想到 0.564 syn
think-v 想 觉得 0.736 poly
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
think-v 想 认为 0.333 syn
